Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
138.710163;234;49;4694;1026;522;589;1461;835;826;794;1070
139.214528;234;49;4694;1027;521;588;1460;834;827;797;1071
139.713069;235;49;4698;1027;521;587;1461;835;828;797;1073
140.212968;235;49;4698;1027;520;585;1460;836;828;797;1070
140.712365;235;48;4698;1027;518;585;1460;836;828;797;1070
141.213339;236;48;4701;1027;516;584;1460;838;830;797;1070
141.713496;236;48;4695;1027;516;584;1459;837;829;798;1068
142.213202;237;48;4696;1027;513;582;1458;837;830;799;1070
142.712964;237;48;4698;1027;513;577;1459;840;831;798;1073
143.212145;238;47;4698;1026;512;579;1460;841;831;798;1074
143.712557;237;47;4696;1027;511;578;1458;843;831;799;1070
144.213538;238;47;4697;1027;511;577;1458;842;832;799;1070
144.712785;239;47;4699;1027;510;576;1459;843;833;799;1069
145.212359;238;47;4691;1026;509;575;1458;844;833;799;1070
145.713294;239;47;4699;1027;508;575;1458;843;835;799;1068
146.213449;239;47;4698;1027;507;572;1458;844;834;799;1069
146.71288;240;47;4700;1026;507;573;1459;844;835;799;1072
147.212797;239;46;4700;1026;505;571;1458;843;836;799;1072
147.713155;240;46;4696;1027;505;569;1456;843;835;800;1072
148.213065;240;46;4700;1026;506;569;1457;844;836;800;1069
148.713872;240;46;4698;1026;500;569;1457;844;836;800;1068
149.212453;241;46;4702;1026;501;568;1456;845;837;800;1072
149.714295;242;45;4704;1027;502;566;1456;845;838;800;1071
150.212934;241;46;4699;1026;500;564;1456;844;838;800;1069
150.711452;241;46;4702;1026;499;563;1456;845;838;801;1068
151.2129;242;45;4700;1026;499;563;1456;845;839;800;1069
151.71372;243;44;4695;1026;500;562;1455;845;839;800;1068
152.212875;243;45;4700;1027;498;561;1455;845;839;802;1070
152.712895;242;45;4700;1027;496;561;1455;844;840;801;1071
153.214031;244;45;4696;1027;496;560;1455;845;841;801;1072
153.713395;244;45;4700;1031;495;559;1455;846;843;802;1071
154.213545;243;45;4698;1027;495;558;1455;847;842;802;1069
154.713505;244;44;4701;1026;494;556;1455;846;843;801;1068
155.213727;244;44;4698;1026;492;555;1455;849;842;802;1068
155.713218;245;44;4700;1026;491;555;1454;848;844;802;1068
156.213013;245;44;4699;1027;491;553;1454;849;843;800;1070
156.713062;245;44;4699;1026;491;555;1453;849;843;802;1067
157.213143;246;43;4700;1026;490;553;1454;849;844;803;1070
157.713909;246;44;4697;1027;490;551;1454;850;845;802;1070
158.212965;246;44;4697;1027;489;551;1453;849;845;802;1069
158.712986;246;43;4699;1024;488;550;1453;850;845;802;1071
159.21344;246;43;4699;1027;487;549;1453;853;845;802;1066
159.713246;245;43;4699;1027;487;548;1453;850;845;802;1066
160.214;247;43;4702;1026;482;548;1452;851;845;804;1068
160.711615;247;42;4706;1027;485;551;1453;851;846;804;1064
161.213126;247;43;4696;1026;485;547;1454;852;847;804;1070
161.713381;248;43;4702;1026;484;546;1452;853;847;804;1069
162.21247;248;43;4699;1026;481;545;1453;854;849;804;1067
162.713651;249;42;4702;1026;481;545;1452;853;848;804;1070
163.212808;248;42;4701;1026;481;543;1452;853;850;804;1066
163.712797;248;42;4698;1026;480;543;1453;854;849;804;1068
164.213362;249;43;4701;1026;479;542;1452;855;849;804;1070
164.712233;249;42;4701;1025;479;542;1451;854;850;805;1067
165.213499;249;41;4704;1026;478;541;1452;855;850;804;1069
165.712047;250;41;4701;1026;478;540;1451;855;851;805;1068
166.212933;250;41;4694;1027;477;539;1452;855;851;805;1068
166.712478;250;41;4694;1026;476;540;1451;855;852;805;1067
167.210749;250;41;4702;1026;476;540;1451;858;852;805;1067
167.713369;251;41;4699;1027;474;538;1450;857;853;806;1066
168.213123;251;41;4698;1025;474;538;1451;858;852;806;1066
168.712762;252;41;4695;1025;474;537;1451;859;853;806;1067
169.212587;252;40;4698;1026;474;540;1450;860;853;805;1066
169.711741;251;41;4699;1025;472;535;1450;861;854;805;1071
170.213055;252;40;4699;1026;471;537;1449;861;854;806;1067
170.713199;252;40;4698;1025;469;536;1449;860;856;805;1066
171.213316;252;40;4697;1026;469;535;1449;861;855;806;1065
171.712758;252;40;4698;1023;469;534;1450;861;855;807;1066
172.212424;253;40;4697;1026;467;533;1449;862;856;806;1065
172.711094;253;40;4696;1025;467;532;1450;862;857;808;1067
173.21317;253;41;4701;1026;467;534;1449;863;857;807;1065
173.713719;253;39;4697;1026;466;532;1449;861;858;807;1067
174.212764;254;40;4699;1026;461;533;1449;862;857;808;1065
174.712744;254;40;4698;1026;464;532;1448;863;858;808;1066
175.213635;254;39;4697;1026;465;531;1449;863;858;808;1065
175.713159;255;39;4698;1026;462;532;1449;863;859;807;1065
176.213458;254;39;4697;1026;462;531;1449;860;859;807;1065
176.713318;255;39;4700;1026;461;529;1447;864;861;808;1067
177.213286;255;38;4700;1026;461;529;1449;864;861;808;1063
177.713199;254;39;4695;1026;461;528;1448;865;863;807;1065
178.212812;255;39;4696;1026;460;527;1448;866;862;808;1064
178.713082;255;38;4697;1026;459;526;1447;865;863;808;1068
179.212536;255;38;4697;1026;459;525;1448;866;864;808;1065
179.713151;256;38;4693;1026;458;524;1448;866;864;809;1065
180.213472;256;38;4695;1026;457;524;1447;868;863;809;1064
180.713238;256;38;4697;1026;457;524;1447;869;865;808;1066
181.213082;257;38;4696;1026;456;525;1446;868;864;809;1065
181.713061;257;38;4697;1026;455;523;1446;870;865;809;1064
182.213081;257;37;4699;1026;455;522;1447;870;867;809;1063
182.713078;257;38;4700;1026;455;521;1447;870;866;808;1066
183.212382;258;38;4700;1026;454;520;1447;870;866;810;1068
183.713188;258;37;4700;1026;455;520;1446;872;867;810;1066
184.21219;258;38;4698;1025;454;519;1446;871;867;811;1063
184.712108;258;37;4700;1026;454;518;1446;872;868;810;1063
185.212462;258;37;4696;1027;452;518;1445;873;868;810;1065
185.713279;258;36;4699;1026;451;518;1446;875;868;811;1066
186.212767;259;37;4699;1025;451;517;1446;873;869;810;1063
186.713297;259;38;4704;1026;451;517;1445;874;870;811;1066
187.212866;259;36;4697;1026;451;515;1445;875;870;811;1064
187.712379;259;37;4701;1026;450;515;1445;876;873;810;1065
188.214085;259;36;4701;1026;449;515;1445;877;872;810;1066
188.712758;260;36;4701;1026;449;515;1444;877;872;812;1063
189.213249;259;36;4696;1026;449;513;1446;878;873;810;1065
189.712506;259;36;4702;1026;448;513;1443;878;873;810;1063
190.213448;260;36;4698;1026;449;515;1444;880;874;811;1065
190.713275;260;36;4699;1025;448;517;1445;883;873;811;1065
191.212377;260;36;4703;1026;449;520;1444;884;875;811;1064
191.71377;261;36;4698;1026;448;519;1444;884;875;812;1063
